#MATH 1350	
#Lab Exercises 1	
#Server 1 Download time (seconds for 50 MB test file)	
Trial Number	Time
1	3.86
2	30.27
3	4.31
4	69.41
5	11.82
6	10.38
7	13.87
8	5.53
9	7.85
10	47.94
11	9.21
12	19.49
13	3.74
14	15.18
15	4.26
16	7.17
17	28.5
18	13.6
19	11.82
20	12.94
21	8.41
22	15.03
23	11.47
24	14.73
25	17.81
26	4.71
27	16.12
28	7.54
29	6.42
30	5.7
31	6.75
32	6.05
33	7.61
34	13.87
35	6.96
36	8.5
37	7.17
38	7.77
39	8.94
40	4.06
41	16.95
42	52.98
43	9.3
44	4.95
45	5.81
46	8
47	10.38
48	12.18
49	6.11
50	11.02
51	10.7
52	6.89
53	14.01
54	5.26
55	9.21
56	4.71
57	13.33
58	4.85
59	10.59
60	11.13
61	4.95
62	20.49
63	36.23
64	9.58
65	3.35
66	11.94
67	19.89
68	8.17
69	34.12
70	25.28
71	13.2
72	5.7
73	38.47
74	37.71
75	25.53
76	17.46
77	11.82
78	11.7
79	12.3
80	6.17
81	32.14
82	12.81
83	3.78
84	13.6
85	15.49
86	3.29
87	22.65
88	3.78
89	30.27
90	9.49
91	16.95
92	22.65
93	12.3
94	44.7
95	4.9
96	9.87
97	29.08
98	15.33
99	3.22
100	6.17
101	6.42
102	23.1
103	7.85
104	6.05
105	3.32
106	11.47
107	23.81
108	4.44
109	29.37
110	4.85
111	7.61
112	4.53
113	12.43
114	10.49
115	7.69
116	3.19
117	4.62
118	7.69
119	9.58
120	3.53
121	7.39
122	11.7
123	11.82
124	14.15
125	37.71
126	11.59
127	9.03
128	7.85
129	11.13
130	6.96
131	6.49
132	7.85
133	6.55
134	5.64
135	8.17
136	18.73
137	8.17
138	6.55
139	9.03
140	7.85
141	6.23
142	4.53
143	12.55
144	2.92
145	6.96
146	4.66
147	22.65
148	15.64
149	12.68
150	11.13
151	3.46
152	25.79
153	3.53
154	12.06
155	22.65
156	5.7
157	4.76
158	7.61
159	5.53
160	9.3
161	2.89
162	9.21
163	17.64
164	8.08
165	9.12
166	27.66
167	6.42
168	6.89
169	50.91
170	14.15
171	14.59
172	24.78
173	4.14
174	10.91
175	4.01
176	12.18
177	5.58
178	7.69
179	23.57
180	7.77
181	11.13
182	28.79
183	6.36
184	19.11
185	20.29
186	24.53
187	26.31
188	4.31
189	9.78
190	3.63
191	15.96
192	10.18
193	4.85
194	3.94
195	5.75
196	7.85
197	9.78
198	25.53
199	4.48
200	8.41
201	6.23
202	21.76
203	43.38
204	5.21
205	12.68
206	8.67
207	6.05
208	16.12
209	6.42
210	12.06
211	11.47
212	19.49
213	17.64
214	24.53
215	13.33
216	8
217	42.95
218	10.38
219	11.59
220	15.64
221	9.39
222	8.41
223	10.8
224	20.49
225	3.82
226	11.47
227	6.55
228	12.81
229	11.59
230	6.62
231	7.24
232	20.49
233	5.16
234	9.78
235	15.64
236	5.87
237	8
238	5.31
239	4.57
240	8.41
241	3.42
242	15.49
243	22.87
244	12.55
245	9.39
246	12.3
247	6.17
248	9.58
249	22.2
250	9.97
251	7.92
252	6.55
253	15.18
254	35.16
255	30.57
256	10.18
257	7.77
258	9.21
259	4.76
260	5.26
